8	61857388	8	129022519	RF	16
3	112757090	8	128603015	DIST	13
2	132744275	2	132745750	DIST	11
8	64036544	8	127915818	RF	9
8	63697451	8	128358130	DIST	9
14	21951444	14	21952276	DIST	9
12	27539347	12	27546564	DIST	9
2	132739652	16	33866795	DIST	8
12	29171263	12	29171845	DIST	8
1	91625405	9	78376474	DIST	7
8	64088183	8	128423680	FF	7
8	127668894	8	127916365	RR	7
8	63469284	12	29386989	DIST	7
8	62066623	8	128798385	DIST	6
12	21575374	12	21686319	FF	6
7	32356471	7	32359806	DIST	6
14	21844353	14	21845214	DIST	5
12	121576170	12	121576831	DIST	4
8	121750497	8	121751178	DIST	4
5	10808947	5	10809612	DIST	4
8	62799888	8	127777503	FF	4
12	21038397	12	27324376	RR	4
2	8534208	2	8534854	DIST	4
12	27325190	12	27325892	DIST	4
6	57585784	6	57586845	DIST	4
14	22991862	14	22992621	DIST	4
8	62064861	8	128798016	RR	4
6	54664319	6	54664906	DIST	4
11	34065215	11	34065913	DIST	3
14	20550222	14	21749266	RF	3
8	63384671	8	128136531	DIST	3
14	70507347	14	70508050	DIST	3
6	138100173	6	138618819	RF	3
14	72402661	14	72403681	DIST	3
4	16811786	4	16812481	DIST	3
6	66316628	6	66318983	DIST	3
3	193338748	3	193339444	DIST	3
5	10042932	5	10043517	DIST	3
12	21769765	12	27495317	DIST	3
3	129861509	3	129886858	DIST	3
5	33391110	5	33391820	DIST	3
20	32279377	20	32282931	DIST	3
7	33865174	7	33865882	DIST	3
11	86089614	11	86101029	DIST	3
6	11663860	6	11664560	DIST	3
11	36585110	11	76606878	DIST	3
3	195879788	3	195881703	DIST	3
3	32076910	3	32083113	DIST	3
8	129534282	8	129540568	DIST	3
14	34577358	14	34579334	DIST	3
5	53212552	5	53213238	DIST	3
8	126664253	8	126670487	DIST	3
18	26126235	18	26126955	DIST	3
13	46587426	13	46588107	DIST	3
8	52893740	16	33847626	DIST	3
14	22174694	14	22179120	DIST	3
14	69759530	14	69760090	DIST	3
13	67875569	13	67876259	DIST	3
3	147414453	3	147415112	DIST	3
10	115851577	10	115852242	DIST	3
5	8990610	5	8991970	DIST	3
1	166452809	1	180540961	RR	3
11	27264206	11	27264909	DIST	3
13	102807763	13	102808348	DIST	3
3	100520050	3	100520732	DIST	3
6	100141026	6	100142214	DIST	3
8	137785887	8	137786593	DIST	3
10	49587123	10	49587763	DIST	3
3	150049463	3	150050155	DIST	3
11	41774696	11	41775905	DIST	3
13	62553974	13	62554598	DIST	2
14	32505411	14	32505995	DIST	2
12	82367903	12	82368846	DIST	2
7	118130829	7	118131542	DIST	2
6	18510001	6	18511112	DIST	2
9	88988545	9	88989239	DIST	2
17	12137268	17	12137975	DIST	2
5	117414929	5	117421918	DIST	2
1	143607452	1	143618188	DIST	2
8	127777638	8	127779815	FF	2
11	5063291	11	5063914	DIST	2
