1	167982520	168133400
1	168163550	168361850
1	168361880	168878660
1	168881370	169198080
1	169198210	169228640
1	169240750	169609320
1	169610170	169982450
1	170482460	171042690
1	171045400	171534440
1	171728280	171741750
1	176058450	176082800
1	194650330	194768960
1	194776900	194909000
1	203530370	203596710
1	215971360	215984580
1	216101840	216270730
1	216279060	216313000
1	216319980	216381950
1	216388700	216856620
1	221664350	221920940
1	221921000	222152800
1	222855170	222920300
1	235088790	235104030
1	241001300	241022710
1	241472780	241485870
1	241600060	241625020
1	241655220	241668020
1	241681600	241706990
1	248712980	248723480
1	250398670	250433990
